driver_id,org_id,city_id,primary_store_id,fleet_team_id,driver_name,vehicle_type,employment_mode,tenure_months,rating,acceptance_rate,on_time_rate,daily_order_capacity,attendance_risk_score,active_flag
61,1,1,3,24,Abhiram Kata,bike,partner,30,4.2,0.91,0.83,23,0.05,true
62,1,1,3,24,Shivani Patla,bike,partner,7,4.26,0.91,0.9,26,0.19,true
63,1,1,3,24,Anthony Dada,bike,partner,12,4.43,0.92,0.91,18,0.12,true
64,1,1,3,24,Sneha Rana,bike,partner,18,4.38,0.85,0.89,17,0.21,true
65,1,1,3,24,Lakshmi Kapadia,bike,contract,12,4.52,0.92,0.87,28,0.06,true
66,1,1,3,24,Ati Panchal,bike,partner,28,4.51,0.93,0.86,28,0.06,true
67,1,1,3,24,Alka Dasgupta,ecycle,full_time,16,4.46,0.93,0.88,31,0.11,true
68,1,1,3,24,Nitesh Gade,bike,partner,6,4.05,0.83,0.88,32,0.04,true
69,1,1,3,24,Qabil Dugar,bike,partner,10,4.43,0.93,0.91,23,0.19,true
70,1,1,3,24,Maanav Gour,scooter,partner,36,4.5,0.97,0.77,27,0.18,true
71,1,1,3,24,Ubika Chauhan,bike,partner,20,4.38,0.91,0.91,31,0.08,true
72,1,1,3,24,Omisha Bawa,bike,partner,4,4.3,0.9,0.85,15,0.05,true
73,1,1,3,24,Upkaar Randhawa,bike,partner,27,4.52,0.88,0.9,26,0.04,true
74,1,1,3,24,Dhriti Bhargava,bike,partner,2,4.01,0.89,0.89,26,0.17,true
75,1,1,3,24,Azaan Mand,scooter,partner,35,4.43,0.9,0.93,19,0.15,true
76,1,1,3,24,Upkaar Chaudhari,scooter,partner,34,4.33,0.99,0.94,26,0.06,true
77,1,1,3,24,Wahab Chaudhary,scooter,partner,18,4.24,0.92,0.88,30,0.21,true
78,1,1,3,24,Hiral Narain,bike,partner,25,4.38,0.96,0.86,16,0.18,true
79,1,1,3,24,Pooja Zacharia,bike,partner,22,3.92,0.95,0.88,19,0.17,true
80,1,1,3,24,Ekalinga Dutta,bike,contract,34,4.38,0.89,0.84,20,0.05,true
81,1,1,3,24,Ladli Kapoor,bike,partner,13,4.17,0.8,0.86,31,0.12,true
82,1,1,3,24,Raagini Mammen,bike,partner,3,4.5,0.99,0.94,26,0.05,true
83,1,1,4,27,Pushti Wali,bike,partner,11,4.19,0.9,0.82,20,0.2,true
84,1,1,4,27,Henry Baria,bike,partner,30,4.52,0.9,0.83,30,0.17,true
85,1,1,4,27,Siddharth Sani,bike,partner,36,4.21,0.96,0.86,19,0.03,true
86,1,1,4,27,Ishaan Soman,bike,contract,1,4.35,0.85,0.77,21,0.07,true
87,1,1,4,27,Kritika Padmanabhan,ecycle,partner,1,4.33,0.99,0.8,22,0.2,true
88,1,1,4,27,Yadavi Raj,bike,contract,18,4.39,0.91,0.81,25,0.07,true
89,1,1,4,27,Udarsh Kota,bike,partner,12,4.19,0.96,0.78,22,0.19,true
90,1,1,4,27,Yochana Doshi,bike,partner,28,4.06,0.87,0.91,31,0.05,true
91,1,1,4,27,Quincy Bhatt,bike,partner,16,4.29,0.8,0.93,27,0.07,true
92,1,1,4,27,Ekaraj Oak,bike,partner,34,4.37,0.88,0.8,17,0.13,true
93,1,1,4,27,Max Balan,bike,partner,17,4.23,0.96,0.97,27,0.18,true
94,1,1,4,27,Max Ravi,bike,partner,13,4.31,0.99,0.91,18,0.19,true
95,1,1,4,27,Bachittar Dixit,bike,partner,27,4.15,0.96,0.84,32,0.18,true
96,1,1,4,27,Yauvani Rajagopal,bike,partner,7,4.22,0.88,0.92,27,0.11,true
97,1,1,4,27,Viraj Bhat,bike,partner,4,4.15,0.93,0.87,23,0.21,true
98,1,1,4,27,Qarin Raghavan,bike,partner,3,4.53,0.92,0.84,23,0.09,true
99,1,1,4,27,Darsh Dewan,bike,partner,25,4.7,0.82,0.81,16,0.17,true
100,1,1,4,27,Divya Jhaveri,bike,partner,2,4.43,0.93,0.78,19,0.07,true
101,1,1,4,27,Ishani Raghavan,bike,partner,26,3.96,0.93,0.88,23,0.17,true
102,1,1,4,27,Qushi Dubey,bike,partner,34,4.37,0.78,0.92,18,0.04,true
103,1,1,4,27,Omisha Venkataraman,bike,partner,11,4.16,0.97,0.98,19,0.12,true
104,1,1,4,27,Ayushman Apte,bike,partner,15,4.46,0.95,0.89,19,0.06,true
105,1,1,4,27,Shaurya Shankar,bike,partner,22,4.3,0.88,0.84,14,0.19,true
106,1,1,4,27,Qasim Basak,bike,partner,31,4.42,0.83,0.88,23,0.2,true
107,1,1,4,27,Anamika Hayre,bike,partner,22,4.33,0.95,0.83,20,0.14,true
108,1,1,4,27,Odika Walla,bike,partner,3,4.36,0.91,0.82,22,0.05,true
109,1,1,4,27,Hemal Din,scooter,partner,11,4.42,0.92,0.84,22,0.17,true
110,1,1,4,27,Agastya Bumb,scooter,partner,36,4.48,0.94,0.86,17,0.21,true
111,1,1,4,27,Yachana Badal,bike,partner,25,4.35,0.96,0.9,24,0.07,true
112,1,1,4,27,Darpan Sarkar,bike,partner,16,4.37,0.86,0.98,19,0.19,true
113,1,1,4,27,Balendra Nair,scooter,partner,34,4.18,0.99,0.93,22,0.17,true
114,1,1,5,30,Fariq Ratta,bike,contract,3,4.62,0.87,0.88,17,0.06,true
115,1,1,5,30,Widisha Narayan,bike,partner,22,4.48,0.95,0.92,32,0.21,true
116,1,1,5,30,Lakshmi Gaba,bike,contract,33,4.49,0.87,0.8,21,0.09,true
117,1,1,5,30,Vaishnavi Seth,bike,partner,2,4.01,0.84,0.9,17,0.13,true
118,1,1,5,30,Xalak Deep,ecycle,partner,11,4.29,0.79,0.89,16,0.05,true
119,1,1,5,30,Agastya Pandit,bike,partner,11,4.41,0.92,0.91,29,0.06,true
120,1,1,5,30,Harsh Dara,bike,partner,34,4.11,0.96,0.96,15,0.12,true
121,1,1,5,30,Hredhaan Khanna,bike,partner,2,4.4,0.9,0.91,16,0.1,true
122,1,1,5,30,Patrick Loke,bike,partner,3,4.21,0.91,0.86,27,0.15,true
123,1,1,5,30,Anay Dubey,bike,partner,25,4.25,0.89,0.92,29,0.2,true
124,1,1,5,30,Upma Natarajan,bike,partner,14,4.67,0.9,0.82,16,0.13,true
125,1,1,5,30,Isaac Gokhale,bike,partner,33,4.18,0.86,0.9,22,0.17,true
126,1,1,5,30,Varenya Munshi,bike,full_time,22,4.78,0.91,0.86,22,0.08,true
127,1,1,5,30,Indrajit Krish,bike,partner,25,4.21,0.87,0.89,28,0.2,true
128,1,1,5,30,Ati Bhargava,bike,contract,19,4.48,0.96,0.87,28,0.07,true
129,1,1,5,30,Abhimanyu Naidu,bike,contract,36,4.52,0.83,0.8,28,0.1,true
130,1,1,5,30,Xalak Gandhi,bike,contract,5,4.43,0.9,0.94,29,0.05,true
131,1,1,5,30,Oliver Bajaj,bike,partner,12,4.15,0.99,0.75,25,0.06,true
132,1,1,5,30,Abhiram Yadav,bike,partner,28,4.17,0.93,0.88,19,0.16,true
133,1,1,5,30,Bhavini Sarkar,bike,partner,27,4.19,0.85,0.88,22,0.05,true
134,1,1,5,30,Zinal Konda,bike,partner,13,4.41,0.87,0.83,14,0.11,true
135,1,1,5,30,Dhruv Sehgal,ecycle,partner,19,4.47,0.91,0.76,22,0.21,true
136,1,1,6,33,Nisha Kurian,bike,partner,22,4.6,0.97,0.84,14,0.07,true
137,1,1,6,33,Hiral Buch,bike,partner,3,4.42,0.94,0.79,24,0.13,true
138,1,1,6,33,Aryan Kaul,bike,partner,22,4.16,0.91,0.91,32,0.06,true
139,1,1,6,33,Ekapad Mani,bike,partner,35,4.37,0.86,0.98,14,0.22,true
140,1,1,6,33,Baljiwan Desai,bike,partner,9,4.54,0.94,0.86,17,0.12,true
141,1,1,6,33,Tara Sagar,bike,full_time,6,4.62,0.91,0.81,24,0.08,true
142,1,1,6,33,Abdul Buch,bike,partner,9,3.95,0.91,0.82,24,0.15,true
143,1,1,6,33,Gagan Prabhu,scooter,contract,30,4.62,0.97,0.94,15,0.07,true
144,1,1,6,33,Januja Lal,bike,contract,20,4.26,0.9,0.85,30,0.07,true
145,1,1,6,33,Ekaraj Jhaveri,bike,partner,24,4.21,0.91,0.98,23,0.17,true
146,1,1,6,33,Mohammed Sachdeva,bike,partner,10,4.31,0.96,0.88,23,0.07,true
147,1,1,6,33,Aarav Gade,bike,partner,27,4.5,0.92,0.87,16,0.05,true
148,1,1,6,33,Radhika Korpal,ecycle,partner,21,4.53,0.85,0.85,27,0.1,true
149,1,1,6,33,Jyoti Chauhan,bike,partner,6,4.06,0.94,0.81,28,0.21,true
150,1,1,6,33,Brijesh Modi,bike,partner,1,4.57,0.94,0.84,20,0.04,true
151,1,1,6,33,Zayan Raj,bike,partner,28,4.47,0.95,0.9,27,0.17,true
152,1,1,6,33,Dalaja Nagy,bike,partner,11,4.55,0.88,0.84,24,0.13,true
153,1,1,6,33,Divya Master,bike,partner,30,4.46,0.96,0.79,28,0.17,true
154,1,1,6,33,Mugdha Khanna,bike,partner,30,4.4,0.85,0.86,14,0.17,true
155,1,1,6,33,Sanaya Handa,bike,partner,24,4.62,0.94,0.83,22,0.11,true
156,1,1,6,33,Ekansh Chandran,bike,partner,25,4.73,0.91,0.89,32,0.14,true
157,1,1,7,36,Daksha Rastogi,bike,partner,11,4.48,0.95,0.85,32,0.11,true
158,1,1,7,36,Krishna Halder,bike,partner,2,4.46,0.89,0.95,32,0.2,true
159,1,1,7,36,Kritika Kothari,bike,partner,1,4.17,0.95,0.87,16,0.2,true
160,1,1,7,36,Onkar Sha,bike,partner,23,4.8,0.9,0.85,23,0.06,true
161,1,1,7,36,Adweta Mani,bike,partner,15,4.57,0.96,0.82,17,0.2,true
162,1,1,7,36,Ikshita Iyer,bike,partner,36,4.39,0.94,0.92,17,0.05,true
163,1,1,7,36,Ucchal Balasubramanian,bike,partner,12,4.27,0.91,0.93,23,0.06,true
164,1,1,7,36,Lopa Pant,bike,partner,16,4.47,0.91,0.89,28,0.21,true
165,1,1,7,36,Madhavi Solanki,bike,partner,7,4.27,0.87,0.89,15,0.18,true
166,1,1,7,36,Hemang Madan,bike,partner,15,4.32,0.97,0.87,15,0.19,true
167,1,1,7,36,Anika Kala,bike,partner,28,4.2,0.92,0.93,28,0.17,true
168,1,1,7,36,Nilima Memon,bike,partner,34,4.21,0.94,0.84,31,0.16,true
169,1,1,7,36,Gauri Handa,bike,contract,14,4.48,0.91,0.91,25,0.11,true
170,1,1,7,36,Darika Karpe,bike,partner,15,4.13,0.9,0.86,30,0.09,true
171,1,1,7,36,Nisha Narasimhan,bike,contract,36,4.45,0.87,0.8,31,0.05,true
172,1,1,7,36,Bachittar Gole,bike,partner,32,4.42,0.93,0.89,19,0.09,true
173,1,1,7,36,Lavanya Datta,bike,partner,11,4.53,0.89,0.89,15,0.08,true
174,1,1,7,36,Advay Dhawan,bike,partner,35,4.6,0.95,0.85,18,0.08,true
175,1,1,7,36,Leena Garg,bike,partner,1,4.39,0.9,0.74,27,0.03,true
176,1,1,7,36,Prisha Ahuja,bike,partner,23,4.44,0.91,0.88,17,0.13,true
177,1,1,7,36,Dalaja Bains,bike,partner,21,4.61,0.94,0.87,24,0.17,true
178,1,1,7,36,Faraj Tak,bike,partner,36,4.21,0.91,0.92,23,0.08,true
179,1,2,8,39,Harshil Luthra,bike,partner,18,4.58,0.9,0.88,20,0.19,true
180,1,2,8,39,Vaishnavi Sane,bike,partner,35,4.26,0.89,0.83,23,0.06,true
181,1,2,8,39,Urishilla Gopal,bike,contract,4,4.47,0.84,0.84,32,0.09,true
182,1,2,8,39,Finn Chand,bike,partner,20,4.32,0.99,0.84,24,0.09,true
183,1,2,8,39,Yagnesh Bali,bike,partner,11,4.55,0.91,0.81,31,0.04,true
184,1,2,8,39,Yug Tiwari,bike,contract,13,4.59,0.8,0.97,31,0.07,true
185,1,2,8,39,Qabil Ramesh,bike,partner,19,4.44,0.86,0.93,16,0.06,true
186,1,2,8,39,Gopal Dave,bike,partner,36,4.12,0.88,0.94,17,0.2,true
187,1,2,8,39,Reyansh Vasa,bike,partner,35,4.47,0.88,0.91,25,0.08,true
188,1,2,8,39,Vasudha Raman,bike,partner,12,4.53,0.88,0.85,20,0.07,true
189,1,2,8,39,Gunbir Ramesh,scooter,contract,15,4.44,0.96,0.95,30,0.11,true
190,1,2,8,39,Advika Karan,bike,partner,5,4.27,0.9,0.97,25,0.21,true
191,1,2,8,39,Urvi Ratti,bike,partner,20,4.4,0.86,0.86,25,0.22,true
192,1,2,8,39,Bhavna Hari,bike,partner,13,4.39,0.9,0.82,14,0.08,true
193,1,2,8,39,Darika Pall,bike,partner,9,4.17,0.97,0.86,24,0.21,true
194,1,2,8,39,Ekta Kashyap,bike,partner,20,4.41,0.95,0.93,21,0.21,true
195,1,2,8,39,Hema Walla,bike,contract,29,4.57,0.9,0.87,32,0.03,true
196,1,2,8,39,Michael Ravi,bike,partner,9,4.4,0.9,0.94,14,0.15,true
197,1,2,8,39,Samarth Apte,bike,partner,36,4.37,0.92,0.88,24,0.11,true
198,1,2,8,39,Laksh Sahni,bike,partner,25,4.22,0.89,0.95,27,0.06,true
199,1,2,9,42,Oscar Arora,bike,partner,32,4.35,0.88,0.83,31,0.12,true
200,1,2,9,42,Harsh Handa,bike,partner,10,4.31,0.9,0.79,25,0.15,true
201,1,2,9,42,Dayita Devan,bike,partner,33,4.44,0.87,0.87,15,0.08,true
202,1,2,9,42,Logan Ramachandran,scooter,partner,25,4.38,0.85,0.92,22,0.06,true
203,1,2,9,42,Anya Yogi,bike,partner,33,4.29,0.97,0.85,28,0.08,true
204,1,2,9,42,Alka Gole,bike,partner,1,4.38,0.97,0.86,21,0.07,true
205,1,2,9,42,Rachit Shankar,bike,partner,20,4.13,0.89,0.85,25,0.2,true
206,1,2,9,42,Turvi Batra,bike,partner,27,4.07,0.96,0.85,28,0.07,true
207,1,2,9,42,Tanay Bawa,bike,partner,21,4.23,0.92,0.85,16,0.2,true
208,1,2,9,42,Rayaan Mahal,bike,partner,22,4.34,0.97,0.78,26,0.12,true
209,1,2,9,42,Devansh Sundaram,bike,partner,1,4.14,0.98,0.85,15,0.21,true
210,1,2,9,42,Ishani Kuruvilla,bike,partner,4,4.05,0.99,0.88,24,0.06,true
211,1,2,9,42,Orinder Venkataraman,scooter,partner,32,4.38,0.88,0.98,24,0.05,true
212,1,2,9,42,Praneel Singhal,bike,partner,2,4.48,0.87,0.86,17,0.14,true
213,1,2,9,42,Diya Bir,bike,partner,8,4.29,0.99,0.98,27,0.2,true
214,1,2,9,42,Sudiksha Mittal,bike,partner,9,4.4,0.97,0.77,20,0.03,true
215,1,2,9,42,Devika Tara,bike,partner,14,4.35,0.87,0.84,30,0.15,true
216,1,2,9,42,Hema Uppal,bike,partner,8,4.54,0.92,0.76,14,0.19,true
217,1,2,9,42,Karan Brar,bike,contract,27,4.32,0.95,0.96,25,0.03,true
218,1,2,9,42,Rayaan Sagar,bike,partner,36,4.51,0.94,0.84,27,0.12,true
219,1,2,9,42,Balendra Gopal,ecycle,partner,10,4.11,0.83,0.9,20,0.14,true
220,1,2,9,42,Manbir Munshi,bike,partner,34,4.4,0.99,0.88,21,0.03,true
221,1,2,9,42,Yashoda Gala,bike,partner,32,4.38,0.84,0.91,15,0.1,true
222,1,2,9,42,Dalaja Tak,bike,partner,15,4.38,0.93,0.96,26,0.14,true
223,1,2,9,42,Yochana Prabhakar,bike,partner,23,4.11,0.87,0.81,30,0.17,true
224,1,2,9,42,Udarsh Manne,scooter,partner,17,4.2,0.99,0.84,27,0.04,true
225,1,2,9,42,Anmol Dash,bike,partner,31,4.19,0.83,0.92,21,0.06,true
226,1,2,9,42,Tamanna Gola,bike,full_time,26,4.44,0.89,0.79,20,0.04,true
227,1,2,10,45,Saanvi Mangat,bike,partner,26,4.02,0.94,0.95,26,0.07,true
228,1,2,10,45,Kavya Ahluwalia,bike,partner,7,4.36,0.93,0.91,27,0.14,true
229,1,2,10,45,Jason Mangat,bike,partner,8,4.16,0.99,0.9,16,0.17,true
230,1,2,10,45,Tanveer Anand,bike,partner,8,4.38,0.91,0.83,25,0.14,true
231,1,2,10,45,Jasmit Malhotra,bike,partner,9,4.35,0.93,0.89,23,0.03,true
232,1,2,10,45,Xavier Yadav,bike,partner,1,4.22,0.99,0.85,18,0.19,true
233,1,2,10,45,Zehaan Walla,bike,partner,19,4.23,0.93,0.8,14,0.06,true
234,1,2,10,45,Aryan Luthra,bike,partner,30,4.18,0.98,0.9,24,0.05,true
235,1,2,10,45,Nakul Mishra,bike,partner,29,4.34,0.87,0.91,31,0.07,true
236,1,2,10,45,Advaith Sahota,scooter,partner,29,4.09,0.92,0.96,23,0.17,true
237,1,2,10,45,Pranav Sarin,bike,partner,28,4.08,0.91,0.82,23,0.14,true
238,1,2,10,45,Udarsh Dani,bike,partner,26,4.17,0.88,0.83,23,0.12,true
239,1,2,10,45,Ladli Srinivas,bike,partner,24,4.44,0.9,0.9,17,0.19,true
240,1,2,10,45,Brinda Tata,bike,partner,12,4.47,0.97,0.94,19,0.07,true
241,1,2,10,45,Januja Singhal,bike,partner,1,4.45,0.97,0.84,20,0.12,true
242,1,2,10,45,Azad Yohannan,bike,partner,35,4.68,0.92,0.91,23,0.19,true
243,1,2,10,45,Vinaya Krish,bike,partner,2,4.22,0.85,0.81,32,0.08,true
244,1,2,10,45,Geetika Sane,bike,partner,26,4.03,0.95,0.84,29,0.19,true
245,1,2,10,45,Nitesh Dhaliwal,bike,full_time,22,4.58,0.88,0.98,23,0.1,true
246,1,2,10,45,Mitesh Mani,bike,partner,14,4.86,0.88,0.81,19,0.21,true
247,1,2,10,45,Idika Vohra,bike,partner,6,4.29,0.95,0.83,14,0.16,true
248,1,2,10,45,Hardik Jani,bike,partner,23,4.14,0.93,0.81,29,0.16,true
249,1,2,10,45,Teerth Doshi,bike,partner,4,4.13,0.88,0.87,30,0.19,true
250,1,2,10,45,Watika Chauhan,bike,partner,30,4.24,0.95,0.97,17,0.21,true
251,1,2,10,45,Samarth Divan,bike,partner,25,4.6,0.95,0.94,22,0.2,true
252,1,2,10,45,Rachana Ravi,scooter,partner,33,4.25,0.95,0.92,32,0.09,true
253,1,2,10,45,Ishita Ramachandran,bike,partner,16,4.48,0.89,0.95,23,0.15,true
254,1,2,10,45,Parth Bansal,bike,contract,6,4.55,0.92,0.94,14,0.09,true
255,1,2,10,45,Thomas Chadha,bike,partner,32,4.09,0.93,0.85,25,0.2,true
256,1,2,10,45,Udyati Koshy,bike,partner,7,4.35,0.98,0.88,19,0.19,true
257,1,2,10,45,Tejas Ganesh,bike,partner,30,4.45,0.99,0.85,18,0.19,true
258,1,2,10,45,Vincent Amble,bike,partner,17,4.52,0.81,0.76,15,0.19,true
259,1,2,10,45,Sai Butala,bike,partner,5,4.76,0.97,0.92,31,0.17,true
260,1,2,10,45,Aachal Goda,bike,full_time,9,4.48,0.91,0.9,24,0.07,true
261,1,2,10,45,Lucky Mohanty,bike,contract,10,4.63,0.98,0.87,28,0.07,true
262,1,2,10,45,Reva Hari,bike,partner,30,4.3,0.88,0.87,14,0.2,true
263,1,2,10,45,Jeremiah Purohit,bike,partner,23,4.5,0.87,0.96,29,0.05,true
264,1,2,10,45,Mitesh Sandal,bike,contract,29,4.48,0.93,0.76,31,0.03,true
265,1,2,10,45,Urvi Mann,bike,contract,34,4.37,0.92,0.9,15,0.05,true
266,1,2,10,45,Janani Golla,scooter,contract,14,4.51,0.87,0.85,25,0.1,true
267,1,2,10,45,Nathaniel Saini,bike,partner,18,4.52,0.88,0.83,30,0.07,true
268,1,2,10,45,Warjas Merchant,bike,partner,2,4.18,0.92,0.85,29,0.1,true
269,1,2,10,45,Bhavna Sagar,bike,partner,16,4.25,0.84,0.85,23,0.12,true
270,1,2,10,45,Devansh Johal,bike,partner,31,4.15,0.87,0.79,32,0.19,true
271,1,2,10,45,Diya Bhatt,bike,partner,34,4.39,0.87,0.93,20,0.16,true
272,1,2,10,45,Yauvani Subramaniam,bike,partner,7,4.23,0.83,0.96,17,0.18,true
273,1,2,11,48,Girish Nadig,bike,contract,19,4.29,0.89,0.81,18,0.11,true
274,1,2,11,48,Pranit Raghavan,bike,partner,8,4.39,0.9,0.84,29,0.2,true
275,1,2,11,48,Falguni Koshy,bike,contract,30,4.34,0.88,0.88,19,0.03,true
276,1,2,11,48,Sathvik Zachariah,bike,partner,34,4.52,0.99,0.85,26,0.16,true
277,1,2,11,48,Luke Kalita,bike,partner,2,4.33,0.97,0.91,31,0.09,true
278,1,2,11,48,Reva Ghose,bike,contract,26,4.28,0.86,0.87,29,0.11,true
279,1,2,11,48,Rishi Chopra,bike,partner,34,4.53,0.93,0.89,29,0.12,true
280,1,2,11,48,Chaitaly Pillay,bike,partner,14,4.09,0.97,0.96,19,0.07,true
281,1,2,11,48,Aarush Ram,bike,partner,25,4.18,0.83,0.83,27,0.14,true
282,1,2,11,48,Ekavir Toor,bike,partner,1,4.36,0.91,0.8,29,0.08,true
283,1,2,11,48,Avni Vaidya,bike,contract,10,4.59,0.98,0.97,17,0.12,true
284,1,2,11,48,Jatin Deol,bike,contract,15,4.51,0.96,0.98,22,0.05,true
285,1,2,11,48,Rajeshri Ray,scooter,contract,16,4.31,0.99,0.91,28,0.1,true
286,1,2,11,48,Ranbir Borah,scooter,partner,25,4.18,0.87,0.87,30,0.21,true
287,1,2,11,48,Chatura Mishra,bike,partner,34,4.31,0.89,0.89,16,0.18,true
288,1,2,11,48,Aradhana Atwal,bike,contract,25,4.39,0.99,0.9,14,0.12,true
289,1,2,11,48,Anusha Bansal,bike,partner,34,4.45,0.85,0.89,14,0.13,true
290,1,2,11,48,Amruta Mangat,bike,partner,7,4.41,0.93,0.85,16,0.17,true
291,1,2,11,48,Udarsh Oza,bike,contract,8,4.5,0.91,0.89,28,0.14,true
292,1,2,12,51,Chanchal Narasimhan,bike,partner,25,4.51,0.9,0.8,32,0.21,true
